PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=965 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=985 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=989 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=986 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=1000 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=1014 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=1004 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=1007 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=990 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=993 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=999 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=898 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=883 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=878 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=874 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=889 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=891 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=884 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=880 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=951 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=963 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=960 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=973 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=967 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=975 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=985 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=970 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=987 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=995 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=1005 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=1005 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=1002 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=1001 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=1021 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=1009 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=1012 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=1028 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=1014 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=1034 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=1028 ms
64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=1027 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=1042 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=1031 ms
